corruption,severity,pair_idx,y_true,pred_corr,correct_corr,wrong_corr,msp_corr,msp_clean,dH,abs_dH,invariant,both_correct,cos,iou,rho,drift_1m_cos,drift_1m_iou,drift_1m_rho
brightness,1,2393,1,1,True,False,0.9760091304779053,0.9764490127563477,0.002473011612892151,0.002473011612892151,True,True,0.9395812749862671,0.6190476417541504,0.8891092538833618,0.06041872501373291,0.3809523582458496,0.11089074611663818
brightness,1,963,6,6,True,False,0.9779908657073975,0.9779198169708252,-0.00041854381561279297,0.00041854381561279297,True,True,0.9640192985534668,0.699999988079071,0.8540457487106323,0.0359807014465332,0.30000001192092896,0.14595425128936768
brightness,1,2830,6,6,True,False,0.9840561151504517,0.9842476844787598,0.0012079030275344849,0.0012079030275344849,True,True,0.9797653555870056,0.6190476417541504,0.9365127086639404,0.020234644412994385,0.3809523582458496,0.06348729133605957
brightness,1,1381,6,6,True,False,0.9737361073493958,0.9785884618759155,0.026444971561431885,0.026444971561431885,True,True,0.9642941951751709,0.6451612710952759,0.9172348976135254,0.0357058048248291,0.3548387289047241,0.08276510238647461
brightness,1,5515,4,4,True,False,0.9853326678276062,0.9852221608161926,-0.0007058680057525635,0.0007058680057525635,True,True,0.9618055820465088,0.59375,0.9030148386955261,0.03819441795349121,0.40625,0.09698516130447388
brightness,1,1729,8,8,True,False,0.9918749928474426,0.9922243356704712,0.0024513453245162964,0.0024513453245162964,True,True,0.9602692127227783,0.5454545617103577,0.9234895706176758,0.03973078727722168,0.45454543828964233,0.07651042938232422
brightness,1,9887,5,5,True,False,0.9879827499389648,0.9874934554100037,-0.0031706243753433228,0.0031706243753433228,True,True,0.957193911075592,0.699999988079071,0.9213576912879944,0.04280608892440796,0.30000001192092896,0.07864230871200562
brightness,1,4257,6,6,True,False,0.9826613068580627,0.9810894131660461,-0.00970458984375,0.00970458984375,True,True,0.9790593385696411,0.6721311211585999,0.9316594004631042,0.020940661430358887,0.32786887884140015,0.06834059953689575
brightness,1,6690,5,5,True,False,0.9835493564605713,0.984193742275238,0.004024520516395569,0.004024520516395569,True,True,0.9627370238304138,0.7586206793785095,0.871684730052948,0.03726297616958618,0.24137932062149048,0.128315269947052
brightness,1,8384,2,2,True,False,0.9355154633522034,0.8120135068893433,-0.29249948263168335,0.29249948263168335,True,True,0.9647785425186157,0.5454545617103577,0.9014448523521423,0.03522145748138428,0.45454543828964233,0.09855514764785767
brightness,1,8617,3,3,True,False,0.8007208704948425,0.782894492149353,-0.03865116834640503,0.03865116834640503,True,True,0.9808790683746338,0.7586206793785095,0.9134840369224548,0.01912093162536621,0.24137932062149048,0.08651596307754517
brightness,1,1268,3,3,True,False,0.9898794889450073,0.9896987080574036,-0.001176990568637848,0.001176990568637848,True,True,0.9665879607200623,0.5846154093742371,0.9051676988601685,0.033412039279937744,0.41538459062576294,0.09483230113983154
brightness,1,5922,7,7,True,False,0.9797061085700989,0.9792894124984741,-0.002496778964996338,0.002496778964996338,True,True,0.9850525856018066,0.7586206793785095,0.9631611704826355,0.01494741439819336,0.24137932062149048,0.0368388295173645
brightness,1,6529,2,2,True,False,0.9893394112586975,0.9894954562187195,0.0010421276092529297,0.0010421276092529297,True,True,0.9774593114852905,0.7894737124443054,0.9385248422622681,0.022540688514709473,0.21052628755569458,0.061475157737731934
brightness,1,7435,7,7,True,False,0.9898776412010193,0.9896482825279236,-0.001540347933769226,0.001540347933769226,True,True,0.968083381652832,0.6190476417541504,0.9319643974304199,0.03191661834716797,0.3809523582458496,0.06803560256958008
brightness,1,3249,3,3,True,False,0.9838399291038513,0.9841462969779968,0.0019315555691719055,0.0019315555691719055,True,True,0.9727497100830078,0.59375,0.9010244011878967,0.027250289916992188,0.40625,0.09897559881210327
brightness,1,2266,8,8,True,False,0.984833300113678,0.9852665662765503,0.0027570202946662903,0.0027570202946662903,True,True,0.9873499870300293,0.6721311211585999,0.9598787426948547,0.012650012969970703,0.32786887884140015,0.040121257305145264
brightness,1,1412,1,1,True,False,0.9843107461929321,0.9843178987503052,3.552436828613281e-05,3.552436828613281e-05,True,True,0.9520013332366943,0.5692307949066162,0.92805415391922,0.047998666763305664,0.4307692050933838,0.07194584608078003
